auroc,auprc,acc,f1_macro,ece,brier,nll,hce,hce_coverage,hce_count,hce_err,intercept,slope,n,bin_counts,setting,method,row,train_seed,scaled
0.5463824009996155,0.5739002014240993,0.5526960784313726,0.4827256367685106,0.1348339899632354,0.28865188119742,0.8843961790448435,0.532051282051282,0.19117647058823528,156,83,0.37527903827455117,0.24733786194488733,816,[155  86  39  16 131 350   6  15  17   1],fewer,EviDDIE (frozen EDL head),EviDDIE (frozen EDL head),19940419,False
0.7056480680507498,0.6510241436595605,0.6617647058823529,0.6602060786687313,0.14214633492647058,0.2364481698896445,0.6643616635910919,,0.0,0,0,-0.29793906849811086,1.3787239330845302,816,[  0   8  17  56 283 447   4   1   0   0],fewer,EviDDIE (frozen EDL head),EviDDIE (frozen EDL head),20230801,False
0.6397599480968859,0.621006521887153,0.6200980392156863,0.48797993668010525,0.18068513952205886,0.2683786939495674,0.7566455781085866,0.2857142857142857,0.07720588235294118,63,18,0.44829968087547883,-0.023495308171737703,816,[ 63 113  65  32 271 248  17   5   2   0],fewer,EviDDIE (frozen EDL head),EviDDIE (frozen EDL head),20240115,False
0.5439554498269896,0.5807890120244011,0.5441176470588235,0.41567665730773246,0.14856236229166667,0.2989309397416694,0.9326172547113293,0.5823529411764706,0.20833333333333334,170,99,0.2982160390683314,0.5688111622685361,816,[170  63  30  24 217 275  11  13  13   0],fewer,EviDDIE (frozen EDL head),EviDDIE (frozen EDL head),20240520,False
0.6327734525182622,0.629524920036342,0.5857843137254902,0.6389836118510647,0.05423777611519607,0.23949167164253543,0.6776014878792981,0.2682926829268293,0.05024509803921569,41,11,0.17737203819114167,0.778893032422485,816,[ 41  30  57  30 112 479   7  24  36   0],fewer,EviDDIE (frozen EDL head),EviDDIE (frozen EDL head),20240910,False
0.5463824009996155,0.5739002014240993,0.5526960784313726,0.4827256367685106,0.08429961879881968,0.25430574774823517,0.7035195174274302,,0.0,0,0,0.5190025353211714,0.14205522225242243,816,[  0   0  51 176 200 374  15   0   0   0],fewer,EviDDIE (frozen EDL head),EviDDIE (frozen EDL head) + TempScale,19940419,True
0.7056480680507498,0.6510241436595605,0.6617647058823529,0.6602060786687313,0.13911974372802538,0.23490372164358014,0.6604645814607335,,0.0,0,0,-0.2288175435828294,1.2375617620821655,816,[  0  14  22  59 269 446   5   1   0   0],fewer,EviDDIE (frozen EDL head),EviDDIE (frozen EDL head) + TempScale,20230801,True
0.6397599480968859,0.621006521887153,0.6200980392156863,0.48797993668010525,0.10884279795533928,0.24797323015147857,0.689123095737694,,0.0,0,0,0.6640116288449183,-0.5989649011952196,816,[  0   0  43 158 343 270   2   0   0   0],fewer,EviDDIE (frozen EDL head),EviDDIE (frozen EDL head) + TempScale,20240115,True
0.5439554498269896,0.5807890120244011,0.5441176470588235,0.41567665730773246,0.08514323836360488,0.26578913602989973,0.7327325199770566,,0.0,0,0,0.46845197538300976,0.3757372687577744,816,[  0  10 135 100 259 295  17   0   0   0],fewer,EviDDIE (frozen EDL head),EviDDIE (frozen EDL head) + TempScale,20240520,True
0.6327734525182622,0.629524920036342,0.5857843137254902,0.6389836118510647,0.046480367540117314,0.23752656617735582,0.6677034173406502,,0.0,0,0,0.05623426155720653,1.0076947748956553,816,[  0  28  40  74 128 483  29  34   0   0],fewer,EviDDIE (frozen EDL head),EviDDIE (frozen EDL head) + TempScale,20240910,True
0.7181069958847737,0.643492343237313,0.6805555555555556,0.6736701481348488,0.09833900546296291,0.2153095683964907,0.610874487156432,0.0,0.08333333333333333,18,0,-0.004649052459475187,1.0680833400814942,216,[ 18  20  10   5  32 127   0   3   1   0],rare,EviDDIE (frozen EDL head),EviDDIE (frozen EDL head),19940419,False
0.7871656378600823,0.7485514087567217,0.7129629629629629,0.6930309396485866,0.18966602569444443,0.23431001582897146,0.6610937053043396,,0.0,0,0,0.16687697947166244,0.08155109207442511,216,[  0   3   9  13  63 127   0   0   1   0],rare,EviDDIE (frozen EDL head),EviDDIE (frozen EDL head),20230801,False
0.7161779835390947,0.7032042209526214,0.6435185185185185,0.5390726750563412,0.0713217264814815,0.2224071148319486,0.6331855226982489,0.07692307692307693,0.06018518518518518,13,1,-0.03460502621643486,1.1728899068674445,216,[13 14  7  6 85 82  5  4  0  0],rare,EviDDIE (frozen EDL head),EviDDIE (frozen EDL head),20240115,False
0.7217935528120714,0.6899460382031166,0.6435185185185185,0.6241054883813505,0.0934214880555556,0.22403184470187365,0.6382510213192994,0.15789473684210525,0.08796296296296297,19,3,-0.08510200498000525,1.1839336747721123,216,[ 19  15   6   3  60 108   1   2   2   0],rare,EviDDIE (frozen EDL head),EviDDIE (frozen EDL head),20240520,False
0.6613940329218108,0.6343211504132275,0.6111111111111112,0.6788065292239521,0.081006510787037,0.23326517292059357,0.6571170889979912,0.0,0.009259259259259259,2,0,-0.019782660331711055,0.7880805070859624,216,[  2   6   6  11  25 160   4   1   1   0],rare,EviDDIE (frozen EDL head),EviDDIE (frozen EDL head),20240910,False
0.7181069958847737,0.643492343237313,0.6805555555555556,0.6736701481348488,0.14980070816552096,0.23036684976450023,0.6527676435478383,,0.0,0,0,-0.949771388479546,3.056470073876145,216,[  0   0   1  32  52 130   1   0   0   0],rare,EviDDIE (frozen EDL head),EviDDIE (frozen EDL head) + TempScale,19940419,True
0.7871656378600823,0.7485514087567217,0.7129629629629629,0.6930309396485866,0.18452038679503419,0.23249112833749236,0.657495319794054,,0.0,0,0,0.1261890080422876,0.39250495184715295,216,[  0   4  12   9  63 124   3   0   1   0],rare,EviDDIE (frozen EDL head),EviDDIE (frozen EDL head) + TempScale,20230801,True
0.7161779835390947,0.7032042209526214,0.6435185185185185,0.5390726750563412,0.11102724428870403,0.23227086454028945,0.6564033413889002,,0.0,0,0,-0.6650475850664099,2.5239342662715716,216,[ 0  0 11 16 98 91  0  0  0  0],rare,EviDDIE (frozen EDL head),EviDDIE (frozen EDL head) + TempScale,20240115,True
