auroc_mean,auroc_sd,auprc_mean,auprc_sd,acc_mean,acc_sd,f1_macro_mean,f1_macro_sd,ece_mean,ece_sd,brier_mean,brier_sd,nll_mean,nll_sd,hce_mean,hce_sd,hce_coverage_mean,hce_coverage_sd,hce_count,hce_err,intercept_mean,intercept_sd,slope_mean,slope_sd,n,bin_counts,auroc_ci95_low,auroc_ci95_high,brier_ci95_low,brier_ci95_high,nll_ci95_low,nll_ci95_high,ece_ci95_low,ece_ci95_high,hce_cov_pooled,setting,method,row
0.5991950211457132,0.055580498508386075,0.6076244911313922,0.030427202372721066,0.5821078431372549,0.04052464647986876,0.5641295428619446,0.06889231463121293,0.09255328109558823,0.033660239664011535,0.2556894644315873,0.021307793341832127,0.7323508308568915,0.07625001148675145,0.43123180936211497,0.26825348398747817,0.060049019607843146,0.061243864885873835,245,143,0.18638101906199167,0.0934145565075992,0.7002955844475521,0.12982866054959064,4080,[ 244  266  409  308  606 1652  207  289   98    1],0.5301827171456321,0.6682073251457943,0.22923234455786842,0.28214658430530615,0.6376739367311686,0.8270277249826143,0.050758573333874665,0.13434798885730181,0.06004901960784314,fewer,EviDDIE,EviDDIE
0.5991950211457132,0.055580498508386075,0.6076244911313922,0.030427202372721066,0.5821078431372549,0.04052464647986876,0.5641295428619446,0.06889231463121293,0.06933965745446609,0.03718827859196518,0.2462606557932583,0.014272422453307742,0.6892021862709137,0.034982298678035345,0.125,0.1767766952966369,0.0012254901960784314,0.002122611283785389,5,1,0.15618580415402433,0.18536273405407636,0.7668874988811535,0.28448436002752253,4080,[   5  191  261  572  804 1757  366  121    3    0],0.5301827171456321,0.6682073251457943,0.228539102665831,0.2639822089206856,0.6457659254279859,0.7326384471138414,0.023164310771651063,0.11551500413728111,0.0012254901960784314,fewer,EviDDIE,EviDDIE + TempScale
0.6028042099192618,0.07672045596037014,0.6021116829349552,0.03983289636502134,0.5845588235294118,0.05584390877482569,0.478840738342022,0.12076420630435045,0.150330246625,0.056142500056974305,0.2743169330018552,0.0420348841924569,0.9127707706100189,0.2820430411457416,0.3437289356186087,0.2011329034932172,0.15049019607843137,0.11091667977351291,614,276,0.2845537679141076,0.19004290051525613,0.4373776778523554,0.3662670550905758,4080,[580 335 482 522 564 822 442 172 127  34],0.5075431818274926,0.6980652380110309,0.22212373063141688,0.32651013537229356,0.5625680804754479,1.2629734607445897,0.08062012553510209,0.2200403677148979,0.15049019607843137,fewer,Softmax baseline,Softmax baseline
0.6028042099192618,0.07672045596037014,0.6021116829349552,0.03983289636502134,0.5845588235294118,0.05584390877482569,0.478840738342022,0.12076420630435045,0.07062383893734192,0.023166217219549708,0.24821677416375362,0.02014483098410699,0.6957144520058034,0.05113229421570285,0.4444444444444444,0.36987873643590613,0.0041666666666666675,0.00429796027371328,17,8,0.292088060986195,0.4249808040564679,0.5174667433466535,0.8242785067783196,4080,[  17  111  268  679 1408 1364  202   31    0    0],0.5075431818274926,0.6980652380110309,0.2232036627808882,0.27322988554661903,0.6322253231326025,0.7592035808790043,0.04185918104125889,0.09938849683342496,0.004166666666666667,fewer,Softmax baseline,Softmax baseline + TempScale
0.5979082564398309,0.06984368904041012,0.6019924126278999,0.033973188281031325,0.5757352941176471,0.05066479424998875,0.4798676380477601,0.13004636717157572,0.16997190294607845,0.07438916936395185,0.2806861671767759,0.043134733645097435,0.8757090446946009,0.2035814597332522,0.3710231297400455,0.10736411328233769,0.225,0.1478141346637126,918,360,0.29871494988131153,0.10723058070119312,0.4067496529092452,0.1257513047083228,4080,[775 292 333 476 545 751 434 222 109 143],0.5111858622566147,0.6846306506230472,0.2271273213375497,0.3342450130160021,0.6229292754420519,1.1284888139471498,0.07760554949057685,0.26233825640158004,0.225,fewer,EviDDIE w/o EVI,EviDDIE w/o EVI
0.5979082564398309,0.06984368904041012,0.6019924126278999,0.033973188281031325,0.5757352941176471,0.05066479424998875,0.4798676380477601,0.13004636717157572,0.0754453593261304,0.030093849407420176,0.24504518035929285,0.015158830611629216,0.6846347647422122,0.03362040903739056,,,0.0,0.0,0,0,0.1164024767680866,0.19510387886510566,0.8427559788298813,0.3126163498379321,4080,[   0   50  512  703 1156 1245  301  113    0    0],0.5111858622566147,0.6846306506230472,0.22622300613396368,0.263867354584622,0.6428895132355998,0.7263800162488245,0.03807890994957102,0.11281180870268978,0.0,fewer,EviDDIE w/o EVI,EviDDIE w/o EVI + TempScale
0.5872128508266051,0.06268058695896672,0.583910038821373,0.04072324330116132,0.5517156862745097,0.035171782126837144,0.30884464286434293,0.10349502713923099,0.26154347758823526,0.06167522910375061,0.32672572358795315,0.04602123321512457,1.1142742128185117,0.2871443343754473,0.3968461994838376,0.07994328629964834,0.3813725490196078,0.13058056655484357,1556,649,0.4296255042906325,0.03584112623781186,0.22667935979074832,0.08352193503751495,4080,[1523  597  356  333  330  301  316  213   78   33],0.5093846226133756,0.6650410790398347,0.2695828151517936,0.3838686320241127,0.7577374305363346,1.4708109951006887,0.184963566029139,0.33812338914733153,0.3813725490196078,fewer,EviDDIE w/o BSA,EviDDIE w/o BSA
0.5872128508266051,0.06268058695896672,0.583910038821373,0.04072324330116132,0.5517156862745097,0.035171782126837144,0.30884464286434293,0.10349502713923099,0.0612028782862047,0.011247239128720533,0.24678565851314782,0.007712915369564433,0.6867759953956682,0.01592108733772075,,,0.0,0.0,0,0,0.5011584638717335,0.8336160198736942,-0.09810339336975327,1.8758201205797775,4080,[   0    0    0 1041 2098  938    3    0    0    0],0.5093846226133756,0.6650410790398347,0.23720880917756718,0.2563625078487285,0.6670073544361625,0.706544636355174,0.04723758638088372,0.07516817019152569,0.0,fewer,EviDDIE w/o BSA,EviDDIE w/o BSA + TempScale
0.5,0.0,0.5,0.0,0.5,0.0,0.6666666666666666,0.0,0.0,0.0,0.25,0.0,0.6931471805599453,0.0,,,0.0,0.0,0,0,,,,,4080,,,,,,,,,,0.0,fewer,-,No-skill p=0.5
0.7238254458161866,0.05027728995599647,0.6760564781330315,0.07862124207053771,0.6611111111111111,0.04958244716848256,0.662460052664701,0.06345399420203446,0.10402975085185184,0.03121064767140283,0.21817991949118318,0.019533680190943477,0.62322915699488,0.0413512335926425,0.08333333333333333,0.14433756729740646,0.014814814814814814,0.017135884743816433,16,1,-0.08504558404448694,0.07550492350721244,1.065597244097099,0.08027678818886617,1080,[ 16  61  73  68 160 517  56 104  25   0],0.6613979449505739,0.7862529466817992,0.1939256520456626,0.24243418693670377,0.5718848189615816,0.6745734950281784,0.06527661327764872,0.14278288842605497,0.014814814814814815,rare,EviDDIE,EviDDIE
