setting,method,metric,native_mean,ts_mean,diff,p_paired_t
fewer,EviDDIE (frozen EDL head),ece,0.13209312056372552,0.0927771532771813,0.03931596728654421,0.05119191130435732
fewer,EviDDIE (frozen EDL head),brier,0.2663802712841673,0.24809968035010987,0.018280590934057428,0.06346491978580579
fewer,EviDDIE (frozen EDL head),nll,0.7831244326670299,0.6907086263887129,0.09241580627831703,0.09054858255490385
rare,EviDDIE (frozen EDL head),ece,0.10675095129629628,0.12904550014110627,-0.022294548844809997,0.09464443569988006
rare,EviDDIE (frozen EDL head),brier,0.2258647433359756,0.23266017815820134,-0.006795434822225749,0.07389157456012814
rare,EviDDIE (frozen EDL head),nll,0.6401043650952623,0.6572859832716149,-0.017181618176352664,0.08548629631167709
