setting,shot,signal,aurc_mean,aurc_sd,curve_mean,curve_sd,coverage_0.30_risk_mean,coverage_0.30_risk_sd,coverage_0.30_random_ci_half,coverage_0.50_risk_mean,coverage_0.50_risk_sd,coverage_0.50_random_ci_half,coverage_0.70_risk_mean,coverage_0.70_risk_sd,coverage_0.70_random_ci_half,error_auroc_mean,error_auroc_sd,error_auprc_mean,error_auprc_sd
rare,0,margin,0.5058157493549897,0.07972456671494288,"0.8000,0.7364,0.6750,0.6419,0.6222,0.5938,0.5763,0.5628,0.5526,0.5389,0.5176,0.5000,0.4857,0.4887,0.4975,0.4925,0.4891,0.4969,0.4966","0.3042,0.2068,0.1896,0.1591,0.1473,0.1357,0.1236,0.1058,0.0871,0.0947,0.0796,0.0646,0.0510,0.0404,0.0320,0.0257,0.0214,0.0165,0.0106",,,,,,,,,,,,,
rare,0,entropy,0.5047945292342396,0.07922904481283868,"0.8000,0.7364,0.6750,0.6419,0.6222,0.5938,0.5763,0.5628,0.5526,0.5389,0.5176,0.4969,0.4843,0.4887,0.4901,0.4890,0.4902,0.4918,0.4946","0.3042,0.2068,0.1896,0.1591,0.1473,0.1357,0.1236,0.1058,0.0871,0.0947,0.0774,0.0610,0.0483,0.0373,0.0271,0.0291,0.0235,0.0161,0.0122",,,,,,,,,,,,,
rare,0,u,0.5048749065040059,0.07891656515195097,"0.8000,0.7364,0.6750,0.6419,0.6222,0.5938,0.5763,0.5628,0.5546,0.5389,0.5176,0.5000,0.4857,0.4874,0.4864,0.4902,0.4880,0.4938,0.4927","0.3042,0.2068,0.1896,0.1591,0.1473,0.1357,0.1236,0.1058,0.0909,0.0947,0.0796,0.0625,0.0497,0.0396,0.0284,0.0269,0.0201,0.0173,0.0114",,,,,,,,,,,,,
rare,0,random,0.45,0.0,"0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",,,,,,,,,,,,,
rare,0,p,,,,,0.2923076923076923,0.043514263457633706,,,,,,,,,,,
rare,0,msp,,,,,0.5938461538461539,0.13569893582276893,,,,,,,,,,,
rare,0,margin,,,,,0.5938461538461539,0.13569893582276893,,,,,,,,,,,
rare,0,entropy,,,,,0.5938461538461539,0.13569893582276893,,,,,,,,,,,
rare,0,u,,,,,0.5938461538461539,0.13569893582276893,,,,,,,,,,,
rare,0,random,,,,,0.5022153846153847,0.0042042525667435925,0.0071220916455880575,,,,,,,,,,
rare,0,p,,,,,,,,0.32962962962962966,0.03621779114001472,,,,,,,,
rare,0,msp,,,,,,,,0.538888888888889,0.09474353512804802,,,,,,,,
rare,0,margin,,,,,,,,0.538888888888889,0.09474353512804802,,,,,,,,
rare,0,entropy,,,,,,,,0.538888888888889,0.09474353512804802,,,,,,,,
