variant,iter,train_loss,dev_auroc,dev_f1,dev_acc
evi_full,1,1.2277734279632568,0.5575146920728105,0.6212952799121844,0.5698254364089775
evi_full,200,1.0831336784362793,0.6673254519561445,0.5664901031502648,0.6122194513715711
evi_full,400,1.1641870045661926,0.6476867681171137,0.5719026548672567,0.6139650872817956
evi_full,600,1.2969863986968997,0.6268054303144881,0.6382477626000942,0.6169576059850375
evi_full,800,1.3310204672813415,0.6312117461956082,0.6036104754640224,0.6112219451371571
evi_full,1000,1.200062049627304,0.6544370992717707,0.582534611288605,0.6089775561097257
evi_full,1200,1.2336108803749084,0.646277821655338,0.6176542906319155,0.6122194513715711
evi_full,1400,1.2554556894302369,0.6388811014856872,0.6072590738423029,0.6087281795511222
evi_full,1600,1.2053141105175018,0.6529470587869478,0.589501312335958,0.6099750623441397
evi_full,1800,1.2283116960525513,0.6513231882886301,0.5921875,0.6094763092269326
evi_full,2000,1.2080483388900758,0.6536459350377174,0.5892951775304717,0.6134663341645885
evi_full,2200,1.1878513824939727,0.6553853520811438,0.5924358635281671,0.6157107231920199
evi_full,2400,1.2081278157234192,0.655909229420215,0.5887724952994896,0.6182044887780549
evi_full,2600,1.178982276916504,0.6571737737949391,0.5897504695465522,0.6187032418952618
evi_full,2800,1.1870594382286073,0.6602435308238133,0.5959463016583312,0.6172069825436409
evi_full,3000,1.1978269112110138,0.6628360520146019,0.6084521384928717,0.6164588528678304
evi_full,3200,1.230874682664871,0.6575256372783751,0.6300659754948162,0.6084788029925187
evi_full,3400,1.1858510613441466,0.6576449151435626,0.59353471118177,0.6174563591022444
evi_full,3600,1.185011351108551,0.6572566091006896,0.6123456790123457,0.6084788029925187
evi_full,3800,1.211169331073761,0.6629110515481869,0.6122550235673531,0.6102244389027431
evi_full,4000,1.1711356031894684,0.6667301820262311,0.6123893805309735,0.6177057356608479
evi_full,4200,1.2040309083461762,0.6637591806021107,0.6071520452791356,0.6192019950124689
evi_full,4400,1.199667776823044,0.6626983663036922,0.6064814814814815,0.6184538653366584
evi_full,4600,1.1481898748874664,0.6665505811531024,0.6124089424767646,0.615211970074813
evi_full,4800,1.1548059809207916,0.6625835660225994,0.5901639344262295,0.6134663341645885
evi_full,5000,1.191476833820343,0.6594187847090504,0.5914091147197486,0.6109725685785536
evi_no_evi,1,0.5005124807357788,0.5134033992325918,0.6666666666666666,0.5
evi_no_evi,200,0.4047304514050484,0.6698866300582708,0.5631667602470523,0.6119700748129676
evi_no_evi,400,0.3920238718390464,0.6695105129943222,0.5735455543358946,0.6124688279301745
evi_no_evi,600,0.4146935045719147,0.6678946026455059,0.5819650067294752,0.612718204488778
evi_no_evi,800,0.3876581701636314,0.6653518323891021,0.57054698457223,0.6182044887780549
evi_no_evi,1000,0.366123614013195,0.6617098152374674,0.5717433213990636,0.6122194513715711
evi_no_evi,1200,0.3964272883534431,0.6585281186062275,0.5858854860186418,0.6122194513715711
evi_no_evi,1400,0.3605404457449913,0.6639677613945187,0.5757409440175631,0.6144638403990025
evi_no_evi,1600,0.3877981346845627,0.6598416676513206,0.580906148867314,0.6124688279301745
evi_no_evi,1800,0.3917899468541145,0.6617993669193599,0.568561872909699,0.6139650872817956
evi_no_evi,2000,0.3865900376439095,0.6613628024701339,0.5659848697114037,0.613715710723192
evi_no_evi,2200,0.3892843344807625,0.6605808421589418,0.583288409703504,0.6144638403990025
evi_no_evi,2400,0.3871178403496742,0.6573481508199577,0.5921787709497207,0.6177057356608479
evi_no_evi,2600,0.3795594185590744,0.6600717657228499,0.5771334792122538,0.6144638403990025
evi_no_evi,2800,0.3855397719144821,0.6611197691556644,0.5698386199220924,0.6144638403990025
evi_no_evi,3000,0.3774397170543671,0.6608439002245011,0.5726141078838174,0.614713216957606
evi_no_evi,3200,0.3971147012710571,0.6633839341795138,0.5829281469475959,0.6149625935162095
evi_no_evi,3400,0.3907630649209022,0.6626320731836245,0.5926913843691651,0.6192019950124689
evi_no_evi,3600,0.3807547613978386,0.6616859347889628,0.5855492882084341,0.615211970074813
evi_no_evi,3800,0.3867291513085365,0.6601998743788907,0.5712704123996679,0.613715710723192
evi_no_evi,4000,0.3814580255746841,0.6633895311596322,0.567915036333147,0.6144638403990025
evi_no_evi,4200,0.3912605360150337,0.6610754908240619,0.5646334639059877,0.6119700748129676
evi_no_evi,4400,0.3840859004855156,0.6647488510643591,0.5958922379301147,0.6221945137157108
evi_no_evi,4600,0.3636674174666405,0.6615503634927643,0.5743790120011164,0.6197007481296758
evi_no_evi,4800,0.3702685046195983,0.6631926418368045,0.5846994535519126,0.6209476309226932
evi_no_evi,5000,0.3940380388498306,0.6665242131578784,0.5959012086179716,0.6164588528678304
softmax,1,1.4215494394302368,0.6105622477472155,0.5349158156224124,0.5798004987531172
softmax,200,1.1773724484443664,0.6711323934552647,0.5603618886061634,0.6122194513715711
softmax,400,1.1548655605316165,0.6640757209221335,0.5705504330818665,0.6167082294264339
softmax,600,1.1989016389846805,0.6636926387273712,0.5835344596406543,0.612718204488778
softmax,800,1.1465327191352843,0.6553959241547005,0.5665163472378805,0.6164588528678304
softmax,1000,1.094990930557251,0.6597478871400053,0.5661948376353039,0.6102244389027431
softmax,1200,1.162390066385269,0.6560418156603502,0.5800702133405347,0.6122194513715711
softmax,1400,1.075860242843628,0.6596570916847532,0.5773026315789473,0.6154613466334165
softmax,1600,1.1435007846355438,0.6603249979788682,0.5825712748789672,0.6129675810473816
softmax,1800,1.1545486664772031,0.6578670530655903,0.5710298632430924,0.6167082294264339
softmax,2000,1.136368627548218,0.6571697937201884,0.5754174650971804,0.613216957605985
softmax,2200,1.1482892119884491,0.659413312106268,0.5819070904645477,0.616209476309227
softmax,2400,1.1407443857192994,0.652786860778229,0.5928095872170439,0.6187032418952618
softmax,2600,1.1193923246860504,0.6601894266826699,0.579062159214831,0.6149625935162095
softmax,2800,1.134957014322281,0.6580544897108849,0.5732590529247911,0.6179551122194513
softmax,3000,1.116295889616013,0.6590645580562311,0.5822922324823465,0.6164588528678304
