setting,metric,softmax_mean,edl_mean,diff,ci95_low,ci95_high,p_paired_t,n_seeds
fewer,brier,0.2743169330018552,0.2663802712841673,0.00793666171768792,-0.011636807746467182,0.027510131181843023,0.3232271825562364,5
fewer,nll,0.9127707706100189,0.7831244326670299,0.12964633794298897,-0.07318753068633341,0.33248020657231137,0.15062341780857336,5
fewer,ece,0.150330246625,0.13209312056372552,0.018237126061274478,-0.04473353483474618,0.08120778695729514,0.4664118010422395,5
rare,brier,0.21458277598791814,0.2258647433359756,-0.011281967348057448,-0.02756751924746701,0.005003584551352115,0.12677319879360568,5
rare,nll,0.6182569090307688,0.6401043650952623,-0.021847456064493453,-0.058503274294085125,0.014808362165098218,0.17330632779611543,5
rare,ece,0.09832642201851852,0.10675095129629628,-0.00842452927777776,-0.057069171994563746,0.04022011343900823,0.6557487258042468,5
