setting,metric,variant,full_mean,variant_mean,diff,p_paired_t
common,AUROC,Softmax baseline,0.6723840025870487,0.6588060522011678,-0.013577950385880833,0.22293397897440578
common,F1,Softmax baseline,0.6258680450554704,0.5873470572310002,-0.03852098782447022,0.060363271324666776
common,ACC,Softmax baseline,0.6075311720698254,0.6239401496259351,0.016408977556109705,0.3503019539396661
common,AUPR,Softmax baseline,0.6762049840730138,0.6530454365431687,-0.02315954752984506,0.17269257710293331
common,AUROC,EviDDIE w/o BSA,0.6723840025870487,0.6467648335520302,-0.025619169035018485,0.0906313658828969
common,F1,EviDDIE w/o BSA,0.6258680450554704,0.34556050939621397,-0.2803075356592565,0.005986546509676095
common,ACC,EviDDIE w/o BSA,0.6075311720698254,0.5651870324189526,-0.0423441396508728,0.04795973026318154
common,AUPR,EviDDIE w/o BSA,0.6762049840730138,0.6282909551737434,-0.04791402889927032,0.05363984084277898
common,AUROC,EviDDIE w/o EVI,0.6723840025870487,0.6652247685026833,-0.007159234084365362,0.397218991332528
common,F1,EviDDIE w/o EVI,0.6258680450554704,0.5854177456623011,-0.04045029939316935,0.05597573765017562
common,ACC,EviDDIE w/o EVI,0.6075311720698254,0.623491271820449,0.015960099750623513,0.4121848062490501
common,AUPR,EviDDIE w/o EVI,0.6762049840730138,0.6649247359614903,-0.011280248111523505,0.14592242390009583
fewer,AUROC,Softmax baseline,0.5991950211457132,0.6028042099192618,0.003609188773548544,0.8456870458540661
fewer,F1,Softmax baseline,0.5993874630776779,0.5258314336317582,-0.07355602944591966,0.09781579370489676
fewer,ACC,Softmax baseline,0.5821078431372549,0.5845588235294118,0.002450980392156854,0.8702109289871115
fewer,AUPR,Softmax baseline,0.6076244911313922,0.6021116829349552,-0.005512808196436958,0.6571883273773316
fewer,AUROC,EviDDIE w/o BSA,0.5991950211457132,0.5872128508266051,-0.011982170319108087,0.41800795527607015
fewer,F1,EviDDIE w/o BSA,0.5993874630776779,0.38055236675109844,-0.21883509632657944,0.0012737351445746916
fewer,ACC,EviDDIE w/o BSA,0.5821078431372549,0.5517156862745097,-0.030392156862745212,0.028192788911838056
fewer,AUPR,EviDDIE w/o BSA,0.6076244911313922,0.583910038821373,-0.02371445231001912,0.09309607999134283
fewer,AUROC,EviDDIE w/o EVI,0.5991950211457132,0.5979082564398309,-0.0012867647058822929,0.9338888182604965
fewer,F1,EviDDIE w/o EVI,0.5993874630776779,0.5219046597240072,-0.07748280335367064,0.08334463664920208
fewer,ACC,EviDDIE w/o EVI,0.5821078431372549,0.5757352941176471,-0.0063725490196078205,0.49692236677070284
fewer,AUPR,EviDDIE w/o EVI,0.6076244911313922,0.6019924126278999,-0.005632078503492233,0.6373920902751653
rare,AUROC,Softmax baseline,0.7238254458161866,0.7226851851851852,-0.0011402606310013663,0.9588753860494186
rare,F1,Softmax baseline,0.7035766097013589,0.679149908779503,-0.02442670092185595,0.2450052663239219
rare,ACC,Softmax baseline,0.6611111111111111,0.6712962962962964,0.010185185185185297,0.3298657186715219
rare,AUPR,Softmax baseline,0.6760564781330315,0.683991272389273,0.00793479425624155,0.8354083707915769
rare,AUROC,EviDDIE w/o BSA,0.7238254458161866,0.7266460905349794,0.002820644718792842,0.9022086793069749
rare,F1,EviDDIE w/o BSA,0.7035766097013589,0.5392711105580753,-0.16430549914328363,0.08005414579487104
rare,ACC,EviDDIE w/o BSA,0.6611111111111111,0.6425925925925926,-0.01851851851851849,0.5076713475086566
rare,AUPR,EviDDIE w/o BSA,0.6760564781330315,0.6985183865176678,0.022461908384636353,0.5514316091223634
rare,AUROC,EviDDIE w/o EVI,0.7238254458161866,0.721690672153635,-0.002134773662551548,0.8437250267472827
rare,F1,EviDDIE w/o EVI,0.7035766097013589,0.6623081031203153,-0.04126850658104364,0.03101346917719653
rare,ACC,EviDDIE w/o EVI,0.6611111111111111,0.6564814814814814,-0.00462962962962965,0.5886021617194512
rare,AUPR,EviDDIE w/o EVI,0.6760564781330315,0.6765658646712455,0.000509386538213974,0.9820842342689244
