setting,shot,signal,aurc_mean,aurc_sd,curve_mean,curve_sd,coverage_0.30_risk_mean,coverage_0.30_risk_sd,coverage_0.30_random_ci_half,coverage_0.50_risk_mean,coverage_0.50_risk_sd,coverage_0.50_random_ci_half,coverage_0.70_risk_mean,coverage_0.70_risk_sd,coverage_0.70_random_ci_half,coverage_0.90_risk_mean,coverage_0.90_risk_sd,coverage_0.90_random_ci_half,error_auroc_mean,error_auroc_sd,error_auprc_mean,error_auprc_sd
fewer,5,p,0.11031275511187147,0.011740628797779977,"0.0000,0.0029,0.0058,0.0073,0.0209,0.0311,0.0433,0.0715,0.1165,0.1528,0.1846,0.1908,0.1942,0.1958,0.1911,0.1869,0.1832,0.1773,0.1696,0.1612","0.0000,0.0065,0.0053,0.0000,0.0121,0.0174,0.0226,0.0285,0.0199,0.0205,0.0112,0.0143,0.0174,0.0206,0.0203,0.0205,0.0198,0.0167,0.0144,0.0137",,,,,,,,,,,,,,,,
fewer,5,msp,0.05480387882046295,0.008301157132772855,"0.0000,0.0058,0.0117,0.0088,0.0116,0.0165,0.0242,0.0299,0.0395,0.0431,0.0462,0.0539,0.0637,0.0750,0.0917,0.1016,0.1166,0.1313,0.1445,0.1612","0.0000,0.0079,0.0160,0.0120,0.0136,0.0148,0.0151,0.0140,0.0167,0.0142,0.0151,0.0158,0.0159,0.0133,0.0153,0.0132,0.0148,0.0156,0.0158,0.0137",,,,,,,,,,,,,,,,
fewer,5,margin,0.05480387882046295,0.008301157132772855,"0.0000,0.0058,0.0117,0.0088,0.0116,0.0165,0.0242,0.0299,0.0395,0.0431,0.0462,0.0539,0.0637,0.0750,0.0917,0.1016,0.1166,0.1313,0.1445,0.1612","0.0000,0.0079,0.0160,0.0120,0.0136,0.0148,0.0151,0.0140,0.0167,0.0142,0.0151,0.0158,0.0159,0.0133,0.0153,0.0132,0.0148,0.0156,0.0158,0.0137",,,,,,,,,,,,,,,,
fewer,5,entropy,0.05480387882046295,0.008301157132772855,"0.0000,0.0058,0.0117,0.0088,0.0116,0.0165,0.0242,0.0299,0.0395,0.0431,0.0462,0.0539,0.0637,0.0750,0.0917,0.1016,0.1166,0.1313,0.1445,0.1612","0.0000,0.0079,0.0160,0.0120,0.0136,0.0148,0.0151,0.0140,0.0167,0.0142,0.0151,0.0158,0.0159,0.0133,0.0153,0.0132,0.0148,0.0156,0.0158,0.0137",,,,,,,,,,,,,,,,
fewer,5,u,0.15160869168187302,0.014866630148306198,"0.0941,0.1507,0.1553,0.1650,0.1640,0.1553,0.1592,0.1591,0.1631,0.1697,0.1676,0.1665,0.1655,0.1642,0.1608,0.1599,0.1605,0.1595,0.1586,0.1612","0.0761,0.0529,0.0490,0.0497,0.0320,0.0305,0.0266,0.0255,0.0243,0.0191,0.0153,0.0138,0.0109,0.0085,0.0086,0.0117,0.0133,0.0131,0.0137,0.0137",,,,,,,,,,,,,,,,
fewer,5,random,0.15316326530612245,0.012976176602176507,"0.1612,0.1612,0.1612,0.1612,0.1612,0.1612,0.1612,0.1612,0.1612,0.1612,0.1612,0.1612,0.1612,0.1612,0.1612,0.1612,0.1612,0.1612,0.1612,0.1612","0.0137,0.0137,0.0137,0.0137,0.0137,0.0137,0.0137,0.0137,0.0137,0.0137,0.0137,0.0137,0.0137,0.0137,0.0137,0.0137,0.0137,0.0137,0.0137,0.0137",,,,,,,,,,,,,,,,
fewer,5,p,,,,,0.031067961165048542,0.017367518271843026,,,,,,,,,,,,,,
fewer,5,msp,,,,,0.016504854368932037,0.01480383561356981,,,,,,,,,,,,,,
fewer,5,margin,,,,,0.016504854368932037,0.01480383561356981,,,,,,,,,,,,,,
fewer,5,entropy,,,,,0.016504854368932037,0.01480383561356981,,,,,,,,,,,,,,
fewer,5,u,,,,,0.1553398058252427,0.03050923565528285,,,,,,,,,,,,,,
fewer,5,random,,,,,0.16135922330097083,0.015111041143032826,0.002977895933049494,,,,,,,,,,,,,
fewer,5,p,,,,,,,,0.15276967930029156,0.020470541902672834,,,,,,,,,,,
fewer,5,msp,,,,,,,,0.043148688046647225,0.014193191189082317,,,,,,,,,,,
fewer,5,margin,,,,,,,,0.043148688046647225,0.014193191189082317,,,,,,,,,,,
fewer,5,entropy,,,,,,,,0.043148688046647225,0.014193191189082317,,,,,,,,,,,
fewer,5,u,,,,,,,,0.16967930029154518,0.019051089507527163,,,,,,,,,,,
fewer,5,random,,,,,,,,0.1607142857142857,0.013386623665886131,0.0020312919417793483,,,,,,,,,,
fewer,5,p,,,,,,,,,,,0.19583333333333333,0.020623947784607632,,,,,,,,
fewer,5,msp,,,,,,,,,,,0.075,0.013258252147247766,,,,,,,,
fewer,5,margin,,,,,,,,,,,0.075,0.013258252147247766,,,,,,,,
fewer,5,entropy,,,,,,,,,,,0.075,0.013258252147247766,,,,,,,,
fewer,5,u,,,,,,,,,,,0.16416666666666666,0.008513673642376055,,,,,,,,
fewer,5,random,,,,,,,,,,,0.16044375000000002,0.014184694029300062,0.0013099571365347504,,,,,,,
fewer,5,p,,,,,,,,,,,,,,0.1773095623987034,0.016749446590293433,,,,,
fewer,5,msp,,,,,,,,,,,,,,0.1312803889789303,0.015587831492440316,,,,,
fewer,5,margin,,,,,,,,,,,,,,0.1312803889789303,0.015587831492440316,,,,,
fewer,5,entropy,,,,,,,,,,,,,,0.1312803889789303,0.015587831492440316,,,,,
fewer,5,u,,,,,,,,,,,,,,0.15948136142625607,0.013147033899950238,,,,,
fewer,5,random,,,,,,,,,,,,,,0.1614262560777958,0.013728639183644708,0.0006508326365111808,,,,
fewer,5,err-detect-msp,,,,,,,,,,,,,,,,,0.7980579505534597,0.02805762551868236,0.40784908702678113,0.03778726671968476
fewer,5,err-detect-entropy,,,,,,,,,,,,,,,,,0.7980579505534597,0.02805762551868236,0.40784908702678113,0.03778726671968476
fewer,5,err-detect-u,,,,,,,,,,,,,,,,,0.4956887103272593,0.04889125998303957,0.18985288374312415,0.05263616381158191
rare,1,p,0.10236358729539016,0.006690720991516469,"0.0000,0.0000,0.0000,0.0154,0.0204,0.0305,0.0464,0.0590,0.0841,0.1286,0.1685,0.2017,0.1921,0.1854,0.1782,0.1707,0.1677,0.1614,0.1602,0.1541","0.0000,0.0000,0.0000,0.0229,0.0204,0.0142,0.0159,0.0115,0.0262,0.0276,0.0152,0.0163,0.0153,0.0098,0.0147,0.0152,0.0203,0.0182,0.0213,0.0167",,,,,,,,,,,,,,,,
rare,1,msp,0.0588397020151543,0.005194076049222335,"0.0000,0.0000,0.0138,0.0205,0.0245,0.0339,0.0377,0.0487,0.0500,0.0551,0.0611,0.0661,0.0724,0.0774,0.0857,0.0930,0.1006,0.1216,0.1376,0.1541","0.0000,0.0000,0.0308,0.0215,0.0266,0.0240,0.0243,0.0190,0.0190,0.0116,0.0051,0.0071,0.0117,0.0168,0.0287,0.0223,0.0262,0.0280,0.0260,0.0167",,,,,,,,,,,,,,,,
rare,1,margin,0.0588397020151543,0.005194076049222335,"0.0000,0.0000,0.0138,0.0205,0.0245,0.0339,0.0377,0.0487,0.0500,0.0551,0.0611,0.0661,0.0724,0.0774,0.0857,0.0930,0.1006,0.1216,0.1376,0.1541","0.0000,0.0000,0.0308,0.0215,0.0266,0.0240,0.0243,0.0190,0.0190,0.0116,0.0051,0.0071,0.0117,0.0168,0.0287,0.0223,0.0262,0.0280,0.0260,0.0167",,,,,,,,,,,,,,,,
rare,1,entropy,0.0588397020151543,0.005194076049222335,"0.0000,0.0000,0.0138,0.0205,0.0245,0.0339,0.0377,0.0487,0.0500,0.0551,0.0611,0.0661,0.0724,0.0774,0.0857,0.0930,0.1006,0.1216,0.1376,0.1541","0.0000,0.0000,0.0308,0.0215,0.0266,0.0240,0.0243,0.0190,0.0190,0.0116,0.0051,0.0071,0.0117,0.0168,0.0287,0.0223,0.0262,0.0280,0.0260,0.0167",,,,,,,,,,,,,,,,
rare,1,u,0.13039909875124872,0.015168109545453914,"0.0400,0.0900,0.0966,0.0974,0.1102,0.1186,0.1101,0.1179,0.1295,0.1571,0.1667,0.1712,0.1669,0.1708,0.1660,0.1618,0.1617,0.1602,0.1581,0.1541","0.0548,0.0742,0.0567,0.0421,0.0310,0.0169,0.0130,0.0190,0.0130,0.0171,0.0236,0.0193,0.0264,0.0245,0.0262,0.0232,0.0175,0.0158,0.0224,0.0167",,,,,,,,,,,,,,,,
