shot,metric,seed,pharddie,rareddie,paired_diff,mean_diff,ci95_low,ci95_high
1,AUC,19940419,0.9460641399416909,0.9455,0.000564139941690911,0.011606888796334869,-0.00048450253059403176,0.02369828012326377
1,AUC,20230801,0.9252394835485215,0.9007,0.024539483548521535,0.011606888796334869,-0.00048450253059403176,0.02369828012326377
1,AUC,20240115,0.9264889629321116,0.9223,0.004188962932111573,0.011606888796334869,-0.00048450253059403176,0.02369828012326377
1,AUC,20240520,0.9248229904206581,0.9136,0.011222990420658108,0.011606888796334869,-0.00048450253059403176,0.02369828012326377
1,AUC,20240910,0.9247188671386922,0.9072,0.017518867138692218,0.011606888796334869,-0.00048450253059403176,0.02369828012326377
1,ACC,19940419,0.8673469387755102,0.8724,-0.0050530612244897855,0.02553836734693875,-0.004499120613098852,0.055575855306976354
1,ACC,20230801,0.8418367346938775,0.8061,0.0357367346938775,0.02553836734693875,-0.004499120613098852,0.055575855306976354
1,ACC,20240115,0.8214285714285714,0.8163,0.005128571428571371,0.02553836734693875,-0.004499120613098852,0.055575855306976354
1,ACC,20240520,0.8520408163265306,0.801,0.05104081632653057,0.02553836734693875,-0.004499120613098852,0.055575855306976354
1,ACC,20240910,0.8469387755102041,0.8061,0.040838775510204095,0.02553836734693875,-0.004499120613098852,0.055575855306976354
1,F1,19940419,0.8699568547394634,0.8738,-0.00384314526053664,0.0014201885744125065,-0.0182988004965362,0.021139177645361214
1,F1,20230801,0.8513694581280788,0.8373,0.014069458128078804,0.0014201885744125065,-0.0182988004965362,0.021139177645361214
1,F1,20240115,0.8075759988803467,0.8265,-0.01892400111965331,0.0014201885744125065,-0.0182988004965362,0.021139177645361214
1,F1,20240520,0.8115854194115064,0.8164,-0.0048145805884936,0.0014201885744125065,-0.0182988004965362,0.021139177645361214
1,F1,20240910,0.8014132117126673,0.7808,0.02061321171266728,0.0014201885744125065,-0.0182988004965362,0.021139177645361214
5,AUC,19940419,0.9450059453032105,0.9729,-0.027894054696789516,-0.010482829964328144,-0.026234873838443147,0.005269213909786859
5,AUC,20230801,0.969678953626635,0.9741,-0.004421046373364934,-0.010482829964328144,-0.026234873838443147,0.005269213909786859
5,AUC,20240115,0.9542211652794292,0.9732,-0.018978834720570714,-0.010482829964328144,-0.026234873838443147,0.005269213909786859
5,AUC,20240520,0.9705707491082045,0.9753,-0.0047292508917954335,-0.010482829964328144,-0.026234873838443147,0.005269213909786859
5,AUC,20240910,0.9664090368608799,0.9628,0.0036090368608798773,-0.010482829964328144,-0.026234873838443147,0.005269213909786859
5,ACC,19940419,0.8620689655172413,0.8793,-0.017231034482758645,-0.01726206896551723,-0.046580111467607016,0.012055973536572555
5,ACC,20230801,0.853448275862069,0.9052,-0.051751724137931054,-0.01726206896551723,-0.046580111467607016,0.012055973536572555
5,ACC,20240115,0.8706896551724138,0.8966,-0.02591034482758614,-0.01726206896551723,-0.046580111467607016,0.012055973536572555
5,ACC,20240520,0.9051724137931034,0.8966,0.008572413793103473,-0.01726206896551723,-0.046580111467607016,0.012055973536572555
5,ACC,20240910,0.8793103448275862,0.8793,1.0344827586217242e-05,-0.01726206896551723,-0.046580111467607016,0.012055973536572555
5,F1,19940419,0.8628929507025482,0.7876,0.07529295070254827,-0.00572112943815728,-0.06801248685649594,0.056570227980181374
5,F1,20230801,0.8442606516290727,0.8933,-0.04903934837092727,-0.00572112943815728,-0.06801248685649594,0.056570227980181374
5,F1,20240115,0.8373309146993357,0.8827,-0.0453690853006643,-0.00572112943815728,-0.06801248685649594,0.056570227980181374
5,F1,20240520,0.8986296159980371,0.8982,0.00042961599803714723,-0.00572112943815728,-0.06801248685649594,0.056570227980181374
5,F1,20240910,0.8797802197802198,0.8897,-0.009919780219780239,-0.00572112943815728,-0.06801248685649594,0.056570227980181374
